"sample","fieldID","region","site","management","treatment","plot","day","lat","lon","sand_pct","soil_moisture","soil_temp","pH","soil_tot_C","soil_tot_N","abv_plant_biomass","plant_avail_N","fb_ratio","microbial_biomass","ITS_ID","X16S_ID","X16Sf","X16Sr","ITSf","ITSr","md5_16Sf","md5_16Sr","md5_ITSf","md5_ITSr","exp_alias_16S","run_alias_16S","exp_alias_ITS","run_alias_ITS","run_acc_16S","exp_acc_16S","run_acc_ITS","exp_acc_ITS","samp_acc","ext_id_acc","proj_acc"
"DeS1InDp2d0","DeS1In","De",1,"In","D",2,0,50.6814855,-3.7812905,68.542173,16.2,25.3,5.81,9.28129774,0.772359742,0.198727272727273,0.00146628176640191,0.0397897510249291,0.022514654117098,"ResRisMcr-1-A-F-06-DeS1InDp2d0-ITS-1","ResRisMcr-1-A-F-06-DeS1InDp2d0-16S-1","ResRisMcr-1-A-F-06-DeS1InDp2d0-16S-1_S66_L001_R1_001.fastq.gz","ResRisMcr-1-A-F-06-DeS1InDp2d0-16S-1_S66_L001_R2_001.fastq.gz","ResRisMcr-1-A-F-06-DeS1InDp2d0-ITS-1_S66_L001_R1_001.fastq.gz","ResRisMcr-1-A-F-06-DeS1InDp2d0-ITS-1_S66_L001_R2_001.fastq.gz","e27d36a6e3ed778f30d604dfbeb79bad","9fcf3fe29a7b03bfdc752fdf0a954044","0f4917a87c42789106f91f62dae555e5","853fcd60c165316d972d5d4617fe92bb","DeS1InDp2d0_16S_exp","DeS1InDp2d0_16S_run","DeS1InDp2d0_ITS_exp","DeS1InDp2d0_ITS_run","ERR11531898","ERX10936464","ERR11532239","ERX10936805","ERS15577919","SAMEA113583010","PRJEB63076"
"DeS1InDp3d0","DeS1In","De",1,"In","D",3,0,50.6814581,-3.7813608,68.542173,17.4,18.7,5.96,8.710140956,0.700965144,0.125,0.00164139156553213,0.0412445027879249,0.0437627093160488,"ResRisMcr-2-B-C-06-DeS1InDp3d0-ITS-1","ResRisMcr-2-B-C-06-DeS1InDp3d0-16S-1","ResRisMcr-2-B-C-06-DeS1InDp3d0-16S-1_S126_L001_R1_001.fastq.gz","ResRisMcr-2-B-C-06-DeS1InDp3d0-16S-1_S126_L001_R2_001.fastq.gz","ResRisMcr-2-B-C-06-DeS1InDp3d0-ITS-1_S126_L001_R1_001.fastq.gz","ResRisMcr-2-B-C-06-DeS1InDp3d0-ITS-1_S126_L001_R2_001.fastq.gz","9ec25787919e0a438103f32c36fc4d7c","558909aab8970d1de81cb873d5266070","17e3b4fbf614d47cb9c6c3f17fa65860","531f82faee5e9da4e710d5045374704b","DeS1InDp3d0_16S_exp","DeS1InDp3d0_16S_run","DeS1InDp3d0_ITS_exp","DeS1InDp3d0_ITS_run","ERR11531899","ERX10936465","ERR11532240","ERX10936806","ERS15577920","SAMEA113583011","PRJEB63076"
"DeS2ExCp1d0","DeS2Ex","De",2,"Ex","C",1,0,50.7616808,-3.8509082,21.247166,49.3,17.1,5.63,3.104218712,0.321963976,0.201818181818182,0.000205979790347445,0.0719899409242464,0.0354920418755625,"ResRisMcr-1-A-F-01-DeS2ExCp1d0-ITS-1","ResRisMcr-1-A-F-01-DeS2ExCp1d0-16S-1","ResRisMcr-1-A-F-01-DeS2ExCp1d0-16S-1_S61_L001_R1_001.fastq.gz","ResRisMcr-1-A-F-01-DeS2ExCp1d0-16S-1_S61_L001_R2_001.fastq.gz","ResRisMcr-1-A-F-01-DeS2ExCp1d0-ITS-1_S61_L001_R1_001.fastq.gz","ResRisMcr-1-A-F-01-DeS2ExCp1d0-ITS-1_S61_L001_R2_001.fastq.gz","ff52156d4a68ff440ca3cf8c64ebb494","e0f1720a22bda48b898e1bb0a4c3ed24","706721d94a6f3e9bb5d7bbe6fba97f20","c583d7c6f79c457ef709ab1f7693e0ad","DeS2ExCp1d0_16S_exp","DeS2ExCp1d0_16S_run","DeS2ExCp1d0_ITS_exp","DeS2ExCp1d0_ITS_run","ERR11531900","ERX10936466","ERR11532241","ERX10936807","ERS15577921","SAMEA113583012","PRJEB63076"
"DeS2ExCp1d60","DeS2Ex","De",2,"Ex","C",1,60,50.7616808,-3.8509082,21.247166,19,16,5.63,3.195340592,0.33411356,NA,0.000337244214582599,0.0867522838945341,0.0319929373851057,"ResRisMcr-1-A-F-08-DeS2ExCp1d60-ITS-1","ResRisMcr-1-A-F-08-DeS2ExCp1d60-16S-1","ResRisMcr-1-A-F-08-DeS2ExCp1d60-16S-1_S68_L001_R1_001.fastq.gz","ResRisMcr-1-A-F-08-DeS2ExCp1d60-16S-1_S68_L001_R2_001.fastq.gz","ResRisMcr-1-A-F-08-DeS2ExCp1d60-ITS-1_S68_L001_R1_001.fastq.gz","ResRisMcr-1-A-F-08-DeS2ExCp1d60-ITS-1_S68_L001_R2_001.fastq.gz","f6c62b2e3ef2ee3ef19def7f8eb459c5","55fb203fcb7fa3b4fd40b811469142aa","3c384a4f2114a9d3c5baa66f4b694898","b15c070fde32cc15e5b0b4dd09d5930b","DeS2ExCp1d60_16S_exp","DeS2ExCp1d60_16S_run","DeS2ExCp1d60_ITS_exp","DeS2ExCp1d60_ITS_run","ERR11531901","ERX10936467","ERR11532242","ERX10936808","ERS15577922","SAMEA113583013","PRJEB63076"
"DeS2ExCp2d0","DeS2Ex","De",2,"Ex","C",2,0,50.7616669,-3.8509718,21.247166,54.2,17,5.88,3.596276864,0.358412728,0.184,0.0004000250532,0.0608211101695759,0.0212206190201402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeS2ExCp2d60","DeS2Ex","De",2,"Ex","C",2,60,50.7616669,-3.8509718,21.247166,17,15.4,5.88,3.67524916,0.340188352,NA,0.00072331087012326,0.0488866506689717,0.0163519807859509,"ResRisMcr-1-A-A-09-DeS2ExCp2d60-ITS-1","ResRisMcr-1-A-A-09-DeS2ExCp2d60-16S-1","ResRisMcr-1-A-A-09-DeS2ExCp2d60-16S-1_S9_L001_R1_001.fastq.gz","ResRisMcr-1-A-A-09-DeS2ExCp2d60-16S-1_S9_L001_R2_001.fastq.gz","ResRisMcr-1-A-A-09-DeS2ExCp2d60-ITS-1_S9_L001_R1_001.fastq.gz","ResRisMcr-1-A-A-09-DeS2ExCp2d60-ITS-1_S9_L001_R2_001.fastq.gz","1bbc693da715109d6f0e40fe18ca9df3","8d0a4b776516fa4c5a7a4a431c223e0a","fdf3a62599ba577fa23f45e7e3610163","96fbdc1edf0499270872085fdcfe59c8","DeS2ExCp2d60_16S_exp","DeS2ExCp2d60_16S_run","DeS2ExCp2d60_ITS_exp","DeS2ExCp2d60_ITS_run","ERR11531902","ERX10936468","ERR11532243","ERX10936809","ERS15577923","SAMEA113583014","PRJEB63076"
"DeS2ExCp3d0","DeS2Ex","De",2,"Ex","C",3,0,50.7616529,-3.8510353,21.247166,50,18.8,5.85,3.535528944,0.36448752,0.192181818181818,0.00132464897619433,0.0928747569853138,0.0372557186073089,"ResRisMcr-2-B-E-11-DeS2ExCp3d0-ITS-1","ResRisMcr-2-B-E-11-DeS2ExCp3d0-16S-1","ResRisMcr-2-B-E-11-DeS2ExCp3d0-16S-1_S155_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-11-DeS2ExCp3d0-16S-1_S155_L001_R2_001.fastq.gz","ResRisMcr-2-B-E-11-DeS2ExCp3d0-ITS-1_S155_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-11-DeS2ExCp3d0-ITS-1_S155_L001_R2_001.fastq.gz","550921ccc2d210c2032e19b277288d26","6b32a0cd53183104deac8c17c2c6106a","775303cae8547d286956b72cebcf2746","6bf86a69f0c1857df510613de99d8ae8","DeS2ExCp3d0_16S_exp","DeS2ExCp3d0_16S_run","DeS2ExCp3d0_ITS_exp","DeS2ExCp3d0_ITS_run","ERR11531903","ERX10936469","ERR11532244","ERX10936810","ERS15577924","SAMEA113583015","PRJEB63076"
"DeS2ExCp3d60","DeS2Ex","De",2,"Ex","C",3,60,50.7616529,-3.8510353,21.247166,14.1,15.7,5.85,3.395808728,0.33411356,NA,0.0006955136261163,0.067829044144351,0.0222973896121783,"ResRisMcr-4-D-F-12-DeS2ExCp3d60-ITS-1","ResRisMcr-4-D-F-12-DeS2ExCp3d60-16S-1","ResRisMcr-4-D-F-12-DeS2ExCp3d60-16S-1_S360_L001_R1_001.fastq.gz","ResRisMcr-4-D-F-12-DeS2ExCp3d60-16S-1_S360_L001_R2_001.fastq.gz","ResRisMcr-4-D-F-12-DeS2ExCp3d60-ITS-1_S360_L001_R1_001.fastq.gz","ResRisMcr-4-D-F-12-DeS2ExCp3d60-ITS-1_S360_L001_R2_001.fastq.gz","887ef884e00ff5a20c3e08cb7b27a1eb","8b18754e3bfdebf5c3ba0a73a68c8c8a","a63e3b7abe7dc229b3c35650b6d47a2a","e7e2d2a2a28418bdea9e6b4855d674d0","DeS2ExCp3d60_16S_exp","DeS2ExCp3d60_16S_run","DeS2ExCp3d60_ITS_exp","DeS2ExCp3d60_ITS_run","ERR11531904","ERX10936470","ERR11532245","ERX10936811","ERS15577925","SAMEA113583016","PRJEB63076"
"DeS2ExDp1d0","DeS2Ex","De",2,"Ex","D",1,0,50.7616878,-3.8508764,21.247166,20.8,21.1,5.4,3.079919544,0.321963976,0.172727272727273,0.000455200081017613,0.120412165275578,0.0328888486440558,"ResRisMcr-2-B-E-06-DeS2ExDp1d0-ITS-1","ResRisMcr-2-B-E-06-DeS2ExDp1d0-16S-1","ResRisMcr-2-B-E-06-DeS2ExDp1d0-16S-1_S150_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-06-DeS2ExDp1d0-16S-1_S150_L001_R2_001.fastq.gz","ResRisMcr-2-B-E-06-DeS2ExDp1d0-ITS-1_S150_L001_R1_001.fastq.gz","ResRisMcr-2-B-E-06-DeS2ExDp1d0-ITS-1_S150_L001_R2_001.fastq.gz","bc9a9ec65a95dec9c41a416c08befbec","30acaac30ef9f078313cbf0956afd991","b615164b6ac7875e0d1a5af32e7ca71e","f935dfe1afc141314b9ede2954589793","DeS2ExDp1d0_16S_exp","DeS2ExDp1d0_16S_run","DeS2ExDp1d0_ITS_exp","DeS2ExDp1d0_ITS_run","ERR11531905","ERX10936471","ERR11532246","ERX10936812","ERS15577926","SAMEA113583017","PRJEB63076"
"DeS2ExDp1d60","DeS2Ex","De",2,"Ex","D",1,60,50.7616878,-3.8508764,21.247166,16,16.9,5.4,3.52337936,0.352337936,NA,0.000599812038388523,0.0701673081090482,0.0327540904809964,"ResRisMcr-1-A-G-01-DeS2ExDp1d60-ITS-1","ResRisMcr-1-A-G-01-DeS2ExDp1d60-16S-1","ResRisMcr-1-A-G-01-DeS2ExDp1d60-16S-1_S73_L001_R1_001.fastq.gz","ResRisMcr-1-A-G-01-DeS2ExDp1d60-16S-1_S73_L001_R2_001.fastq.gz","ResRisMcr-1-A-G-01-DeS2ExDp1d60-ITS-1_S73_L001_R1_001.fastq.gz","ResRisMcr-1-A-G-01-DeS2ExDp1d60-ITS-1_S73_L001_R2_001.fastq.gz","da16e319059b8befa5fdcac672605fc9","08001813986eff34c9348b83643c5940","580fdba272c0c8b6185ad6fe4d77d4b5","06588382d7f0077981672329722f94bf","DeS2ExDp1d60_16S_exp","DeS2ExDp1d60_16S_run","DeS2ExDp1d60_ITS_exp","DeS2ExDp1d60_ITS_run","ERR11531906","ERX10936472","ERR11532247","ERX10936813","ERS15577927","SAMEA113583018","PRJEB63076"
